sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
MST7PD_0_3,mst7_2_1,MST7PD,0,3,mst7,2,1,0.692665435839836,0.6989732901006849,"Different strains, different time"
MST7PD_2_3,mst7_2_1,MST7PD,2,3,mst7,2,1,0.936835595204326,0.9363217308601148,"Different strain, same time"
MST7PD_4_3,mst7_2_1,MST7PD,4,3,mst7,2,1,0.8540716851976061,0.8694511615169096,"Different strains, different time"
MST7PD_24_3,mst7_2_1,MST7PD,24,3,mst7,2,1,0.6007586764068586,0.6159172928217281,"Different strains, different time"
Guy11_0_3,mst7_2_1,Guy11,0,3,mst7,2,1,0.7062692664274557,0.7109532947794505,"Different strains, different time"
Guy11_2_3,mst7_2_1,Guy11,2,3,mst7,2,1,0.8970767439620595,0.8961806734872625,"Different strain, same time"
Guy11_4_3,mst7_2_1,Guy11,4,3,mst7,2,1,0.8365199347324354,0.8521287387882891,"Different strains, different time"
Guy11_24_3,mst7_2_1,Guy11,24,3,mst7,2,1,0.5578712978142892,0.5824375731979672,"Different strains, different time"
pmk1_0_1,mst7_2_1,pmk1,0,1,mst7,2,1,0.7246358329748224,0.7293499072486196,"Different strains, different time"
pmk1_2_1,mst7_2_1,pmk1,2,1,mst7,2,1,0.8485059282238946,0.8468145086309136,"Different strain, same time"
pmk1_4_1,mst7_2_1,pmk1,4,1,mst7,2,1,0.8900936552635316,0.882947418521784,"Different strains, different time"
pmk1_24_1,mst7_2_1,pmk1,24,1,mst7,2,1,0.6866934092892658,0.6876211985100477,"Different strains, different time"
pmk1_0_2,mst7_2_1,pmk1,0,2,mst7,2,1,0.7249449155185917,0.7293973801534701,"Different strains, different time"
pmk1_2_2,mst7_2_1,pmk1,2,2,mst7,2,1,0.8471902294482602,0.845539369732726,"Different strain, same time"
pmk1_4_2,mst7_2_1,pmk1,4,2,mst7,2,1,0.8847865927194801,0.878350120187691,"Different strains, different time"
pmk1_24_2,mst7_2_1,pmk1,24,2,mst7,2,1,0.6866934092892658,0.6876211985100477,"Different strains, different time"
Guy11M_0_1,mst7_2_1,Guy11M,0,1,mst7,2,1,0.6671096262743833,0.6710970599298519,"Different strains, different time"
Guy11M_2_1,mst7_2_1,Guy11M,2,1,mst7,2,1,0.7594023283566899,0.7719928426508992,"Different strain, same time"
Guy11M_4_1,mst7_2_1,Guy11M,4,1,mst7,2,1,0.8774315668336726,0.8779374440108119,"Different strains, different time"
Guy11M_24_1,mst7_2_1,Guy11M,24,1,mst7,2,1,0.5354196311612098,0.5444603350939645,"Different strains, different time"
Guy11M_0_2,mst7_2_1,Guy11M,0,2,mst7,2,1,0.6642838571474512,0.6673279604684552,"Different strains, different time"
Guy11M_2_2,mst7_2_1,Guy11M,2,2,mst7,2,1,0.8062629562630881,0.8169445736502237,"Different strain, same time"
Guy11M_4_2,mst7_2_1,Guy11M,4,2,mst7,2,1,0.8773897668287468,0.8777796293099968,"Different strains, different time"
Guy11M_24_2,mst7_2_1,Guy11M,24,2,mst7,2,1,0.5354196311612098,0.5444603350939645,"Different strains, different time"
mst7_0_1,mst7_4_1,mst7,0,1,mst7,4,1,0.8735627650872968,0.8648549055712657,"Same strain, different time"
mst7_2_1,mst7_4_1,mst7,2,1,mst7,4,1,0.9496956197608756,0.9473975980093741,"Same strain, different time"
mst7_24_1,mst7_4_1,mst7,24,1,mst7,4,1,0.7819170707199269,0.7875114190287035,"Same strain, different time"
MST7WT_0_1,mst7_4_1,MST7WT,0,1,mst7,4,1,0.746589016987804,0.7649317257889954,"Different strains, different time"
MST7WT_2_1,mst7_4_1,MST7WT,2,1,mst7,4,1,0.970953284126827,0.9707075128792744,"Different strains, different time"
MST7WT_4_1,mst7_4_1,MST7WT,4,1,mst7,4,1,0.8597154828536665,0.8655749140654252,"Different strain, same time"
MST7WT_24_1,mst7_4_1,MST7WT,24,1,mst7,4,1,0.5273898049056891,0.5430965087871772,"Different strains, different time"
MST7PM_0_1,mst7_4_1,MST7PM,0,1,mst7,4,1,0.8036300396359021,0.8053841227939987,"Different strains, different time"
MST7PM_2_1,mst7_4_1,MST7PM,2,1,mst7,4,1,0.9467669832112867,0.9461024331819584,"Different strains, different time"
MST7PM_4_1,mst7_4_1,MST7PM,4,1,mst7,4,1,0.8236437629129517,0.8297254524659292,"Different strain, same time"
MST7PM_24_1,mst7_4_1,MST7PM,24,1,mst7,4,1,0.745620177708771,0.7451634833675641,"Different strains, different time"
MST7PD_0_1,mst7_4_1,MST7PD,0,1,mst7,4,1,0.763336388293107,0.7671722853839733,"Different strains, different time"
MST7PD_2_1,mst7_4_1,MST7PD,2,1,mst7,4,1,0.9635935824214674,0.9640344986586189,"Different strains, different time"
MST7PD_4_1,mst7_4_1,MST7PD,4,1,mst7,4,1,0.8924215743641392,0.8942680683288509,"Different strain, same time"
MST7PD_24_1,mst7_4_1,MST7PD,24,1,mst7,4,1,0.737349270584332,0.7373410947324986,"Different strains, different time"
Guy11_0_1,mst7_4_1,Guy11,0,1,mst7,4,1,0.7420752434396505,0.7522214950435339,"Different strains, different time"
Guy11_2_1,mst7_4_1,Guy11,2,1,mst7,4,1,0.9258580805480321,0.9297647725794744,"Different strains, different time"
Guy11_4_1,mst7_4_1,Guy11,4,1,mst7,4,1,0.7543814793534224,0.7702397072229943,"Different strain, same time"
Guy11_24_1,mst7_4_1,Guy11,24,1,mst7,4,1,0.601669193148686,0.6134976978571554,"Different strains, different time"
mst7_0_2,mst7_4_1,mst7,0,2,mst7,4,1,0.7997576745214774,0.8020412667970694,"Same strain, different time"
mst7_2_2,mst7_4_1,mst7,2,2,mst7,4,1,0.9824426864122383,0.9824146362956578,"Same strain, different time"
mst7_4_2,mst7_4_1,mst7,4,2,mst7,4,1,0.9386538257582266,0.9355328644116772,Biological replicates
mst7_24_2,mst7_4_1,mst7,24,2,mst7,4,1,0.7540021405350806,0.7526473439282805,"Same strain, different time"
MST7WT_0_2,mst7_4_1,MST7WT,0,2,mst7,4,1,0.6945104055143076,0.706150120451713,"Different strains, different time"
MST7WT_2_2,mst7_4_1,MST7WT,2,2,mst7,4,1,0.9444058617739431,0.9452066672766744,"Different strains, different time"
MST7WT_4_2,mst7_4_1,MST7WT,4,2,mst7,4,1,0.8167956108741087,0.8271094466516136,"Different strain, same time"
MST7WT_24_2,mst7_4_1,MST7WT,24,2,mst7,4,1,0.5827246331271222,0.5802145844843704,"Different strains, different time"
MST7PM_0_2,mst7_4_1,MST7PM,0,2,mst7,4,1,0.6664657229048376,0.6762895776963868,"Different strains, different time"
MST7PM_2_2,mst7_4_1,MST7PM,2,2,mst7,4,1,0.9578437035516884,0.9580714336975815,"Different strains, different time"
MST7PM_4_2,mst7_4_1,MST7PM,4,2,mst7,4,1,0.8279580010424287,0.8363258848029173,"Different strain, same time"
MST7PM_24_2,mst7_4_1,MST7PM,24,2,mst7,4,1,0.6892699327929479,0.6955141199674462,"Different strains, different time"
MST7PD_0_2,mst7_4_1,MST7PD,0,2,mst7,4,1,0.6636544000258497,0.6765781434745233,"Different strains, different time"
MST7PD_2_2,mst7_4_1,MST7PD,2,2,mst7,4,1,0.9636569438825863,0.9641831715217503,"Different strains, different time"
MST7PD_4_2,mst7_4_1,MST7PD,4,2,mst7,4,1,0.8471747733441656,0.8536324564547042,"Different strain, same time"
Guy11_0_2,mst7_4_1,Guy11,0,2,mst7,4,1,0.742639415270169,0.7517037279273902,"Different strains, different time"
